,real_chord,predicted_chord,inp_len
67501,G,G,13
67502,F,F,13
67503,Emin,Emin,21
67504,A7,C,27
67505,C,D,39
67506,F,C,32
67507,E,D,33
67508,Cadd9,Cadd9,80
67509,Fmaj7,Cmaj7,35
67510,G,G,11
67511,Dsmin,Cs,50
67512,E7,Bmin,62
67513,Bmin,Bmin,19
67514,Fs,Fs,39
67515,Emin,Emin,46
67516,D,D,29
67517,C,C,94
67518,Amin,Amin,15
67519,C,C,55
67520,D,D,72
67521,E,E,40
67522,A,A,107
67523,G,G,90
67524,Gmin,Ds,96
67525,F,F,77
67526,F,F,110
67527,Gs,Esus4,23
67528,A,A,45
67529,Dmin,Bmin7,84
67530,G,C,37
67531,Emin,Emin,40
67532,G,C,13
67533,F,F,51
67534,C,C,33
67535,Ab,Ab,47
67536,C,F,27
67537,F,Dmin,50
67538,Fsmin,Fsmin,111
67539,Gno3d,Dno3d,20
67540,F,Amin,39
67541,Bmin,Bmin,25
67542,C,C,10
67543,Bb,F,43
67544,D,D,57
67545,C,C,20
67546,A,G,8
67547,D,D,9
67548,G,G,106
67549,D,Emin,71
67550,C,G7,16
67551,A,Dmaj7,52
67552,E,E,46
67553,C,D,22
67554,Amin,G,15
67555,Ano3d,A,5
67556,Bmin,A,14
67557,Dmin,Dmin,83
67558,C,C,11
67559,Emin7,Emin7,59
67560,Fsmin,Fsmin,70
67561,Dmin,Dmin,10
67562,A,F,59
67563,Amin,G,48
67564,F,Eb,56
67565,Eb,Eb,38
67566,G,G,4
67567,G,D,59
67568,C,D,6
67569,G,G,13
67570,D/C,D,69
67571,G,G,42
67572,G,G,52
67573,C,Amin,28
67574,G,G,22
67575,Gmin,C,9
67576,A,A,32
67577,G,G,32
67578,Amin,Amin,6
67579,F,F,39
67580,Bmin7/Fs,Bmin7/Fs,48
67581,Amin,Amin,17
67582,Cs,Cs7,14
67583,Amin,Amin,60
67584,F,F,18
67585,Bmin7,Bmin7,51
67586,F,F,11
67587,Dmin,F,77
67588,F,C,41
67589,Gsmin,Gsmin,33
67590,Bmin,Dmin,17
67591,Emin,Emin,10
67592,Bmin7,Emin,14
67593,F,Eb,23
67594,E,Csmin,22
67595,A,A,24
67596,E,Fsmin7,71
67597,D,D,25
67598,F,F,27
67599,G,G,7
67600,D,D,16
67601,A,A,68
67602,G,G,64
67603,A,A,42
67604,D,D,78
67605,Emin,G,88
67606,B,E,34
67607,Bmin7,Bmin7,16
67608,D,D,38
67609,Emin,Emin,75
67610,Fs,Fs,28
67611,F,F,55
67612,Fsmin,Fsmin,22
67613,G,Amin,35
67614,Fsmin,Bmin,38
67615,C,C,9
67616,G,G,120
67617,Csmin,E,46
67618,F,As,8
67619,Fsmin,B,37
67620,F,F,21
67621,G,G,80
67622,Ds,Ds,17
67623,G,G,7
67624,D,D,13
67625,Csmin,E,62
67626,Bmin,Fsmin,10
67627,Fsmin,Fsmin,15
67628,Dmin,Amin,41
67629,Dmin,Dmin,14
67630,Fs,E,63
67631,Cmin,Cmin,56
67632,D,D,51
67633,Emin,Emin,20
67634,A7,D,38
67635,F,F,41
67636,G,G,18
67637,Fsmin7,Fsmin7,125
67638,F,D,18
67639,G,G,28
67640,G,G,42
67641,B,A,15
67642,Fsmin,A,90
67643,D,D,31
67644,Baug/G,A/G,67
67645,Emin,Emin,46
67646,Dmin,Amin,38
67647,D,D,65
67648,A,A,61
67649,D,D,42
67650,C,C,16
67651,Asus4,Asus4,19
67652,A,A,8
67653,A,A,24
67654,Bmin,C,49
67655,Amin,Amin,42
67656,D,E,26
67657,Emin,Emin,13
67658,Bbmin,Bbmin,44
67659,D,G,27
67660,D,D,28
67661,G,Bmin,28
67662,B,Cs,8
67663,A,A,38
67664,Dbmaj7,Abmaj7,77
67665,Bmin,G,37
67666,B,B,26
67667,Fsmin,Fsmin,7
67668,Emin,Emin,19
67669,Bmin7,Fsmin9,34
67670,F,F,10
67671,C,C,7
67672,F,F,30
67673,D,D,13
67674,A,B7,59
67675,Amin,Amin,14
67676,Amin7/G,Amin7/F,42
67677,B7,G7,5
67678,C9,C9,58
67679,Emin,F,35
67680,As,As,60
67681,B,E,6
67682,Emin,Emin,42
67683,G,G,51
67684,D,D7,21
67685,C,C,26
67686,Amin,Amin,39
67687,G/B,G/B,51
67688,G,Emin,29
67689,Amin7,Amin7,42
67690,C7,G7,21
67691,A,A,15
67692,C,F,70
67693,C,Emin,69
67694,G,F,11
67695,G,F,25
67696,C,C,89
67697,E,E,36
67698,B,B,39
67699,Ano3d,Ano3d,12
67700,E,E,36
67701,C,C,42
67702,Cs,Bbmin,18
67703,F,F,76
67704,Bmin,Bmin,34
67705,C,C,47
67706,G,F,54
67707,Dmin7,Emin,57
67708,C/E,Dmin/,16
67709,Bmin,Bmin,17
67710,Csmin,Csmin,73
67711,G,G,12
67712,B,B,19
67713,Fsdim,G,7
67714,G,G,47
67715,C,C,18
67716,E,E,47
67717,D,A7,16
67718,F,F,29
67719,E,E,35
67720,D,Dmin,46
67721,E,E,12
67722,Gsmin,E,30
67723,Bmin,Bmin,16
67724,E7,Fsmin,68
67725,Csmin,Csmin,52
67726,Ano3d,Gno3d,11
67727,Emin,G/Fs,22
67728,C,C,45
67729,Bb,Bb,10
67730,Emin,Emin,23
67731,Eb,Eb,37
67732,G,C,75
67733,Amin,Amin,5
67734,Dmin,Dmin,53
67735,Fsmin,Fsmin,21
67736,G,Emin,8
67737,C,C,34
67738,Amin,Amin,55
67739,G,G,58
67740,Fs,Fs,11
67741,F,F,32
67742,B,B,47
67743,C,D,82
67744,Cs,A,13
67745,B,B,10
67746,Emin,Emin,26
67747,E,Emin/B,55
67748,C,G,20
67749,G,G,36
67750,G,D,70
67751,Fsmin,Fsmin,27
67752,Emin7,Emin7,22
67753,Bbno3d,Bbno3d,26
67754,Bb,Bb,116
67755,G,G,48
67756,Emin,Emin,32
67757,Gs,Gs,30
67758,G,G,20
67759,A,A,54
67760,E,E,24
67761,G,G,76
67762,Dmin,Dmin,31
67763,C,C,76
67764,Gs,Gs,6
67765,Bmin,Bmin,13
67766,Cs,Cs,10
67767,C,G,84
67768,C,D,17
67769,Bb,Bb,33
67770,Amin,C,36
67771,A,A,36
67772,Amin,Amin,39
67773,G,G,28
67774,C/E,C/E,22
67775,A,G/D,114
67776,Eb,Eb,33
67777,G,Amin,17
67778,G,G,4
67779,B7,A,13
67780,F,F,9
67781,Amin,Amin,35
67782,Fs7,Gs,18
67783,Bb,Bb,6
67784,Gs,F,47
67785,Gsus2,Asus4,20
67786,E,E,18
67787,C,C,19
67788,Dmin,Dmin,59
67789,F,F,16
67790,A7,A7,22
67791,C9,C9,38
67792,As,F,8
67793,C,C,35
67794,C9,Dmin7,73
67795,Dmin,Dmin,50
67796,Amin,F,20
67797,Bmin,C,14
67798,Amin,Amin,40
67799,E,E,7
67800,Amin,Amin,8
67801,Amin,G,30
67802,D,D,19
67803,A,A,15
67804,C,C/B,37
67805,E,E,101
67806,Gsmin,E,21
67807,C,C,17
67808,Dbmaj7,Abmaj7,27
67809,F,F,45
67810,Emin,C,9
67811,B,B,23
67812,D,D,30
67813,Emin,Emin,13
67814,C,F,20
67815,D,D,45
67816,C,C,48
67817,G,G,41
67818,D,D,37
67819,G,G,21
67820,Bmin,Bmin,57
67821,A,E,37
67822,Emin,Emin,40
67823,D,D,60
67824,D,D,44
67825,Emin,C,34
67826,Csmin,Csmin,24
67827,G,G,76
67828,Db,Db,63
67829,D,D,42
67830,Cs,Cs,5
67831,A,A,9
67832,Emin,Emin,89
67833,G7,Amin,9
67834,D,D,47
67835,F,F,11
67836,G,D,33
67837,A,A,6
67838,A,A,50
67839,C,C,32
67840,F,F,10
67841,F,F,16
67842,F,E,15
67843,Bmin7,Gmaj7,41
67844,Bmin,Bmin,36
67845,Bmin,Bmin,10
67846,E,E,6
67847,G,G,48
67848,Emin,Emin,26
67849,G,G,19
67850,D,D,13
67851,C,C,73
67852,C,G,37
67853,D,A,73
67854,Fs,Fs,32
67855,Fno3d,Gno3d,76
67856,G,As,71
67857,Bno3d,Bno3d,4
67858,C,C7,13
67859,Cs,Cs,13
67860,B,B,20
67861,D,D,65
67862,A,A,11
67863,C,C,105
67864,As,As,21
67865,G,D,9
67866,G,Dmin,44
67867,A,A,54
67868,Dmin,G,40
67869,Emin,Emin,46
67870,Emin,Emin,42
67871,Fs7,Fs7,77
67872,A,G,8
67873,D,D,6
67874,B,E,30
67875,Fs,B,67
67876,E,E,15
67877,Bb,Gmin,16
67878,G,G,23
67879,E,E,35
67880,Gs,Gs,13
67881,F,F,28
67882,Db,Fmin,77
67883,Aadd9,Aadd9,48
67884,C,D,21
67885,Fmin,Cmin,42
67886,Ds,F,30
67887,Cs,Cs,6
67888,B,B,11
67889,G,G,23
67890,G,G,30
67891,A,F,91
67892,D7,D7,12
67893,Emin,C,42
67894,G7,G7,6
67895,G,G,29
67896,Ab,Ab,14
67897,G,D,97
67898,Dmin,Amin,19
67899,A,A,19
67900,G,F,95
67901,A,A,73
67902,D7,A7,10
67903,F,C,61
67904,Emin,C,18
67905,Amin,Amin,57
67906,F,F,54
67907,D,D,33
67908,Cs,Cs,6
67909,C,Amin,85
67910,Ab7,Ab7,67
67911,G,D,28
67912,A,A,66
67913,E,B,52
67914,Bmin,Bmin,20
67915,D7,D7,21
67916,F,F,63
67917,Eb/G,Cmin7,52
67918,G,C,103
67919,A,A,15
67920,A,A,44
67921,Bb,Dmin,16
67922,G,F,53
67923,Amin,C,4
67924,Asmin,Cs,125
67925,Gmin,F,4
67926,Gsmin,Eno3d,46
67927,B,B,30
67928,G,G,10
67929,Emin,Emin,63
67930,C,C,121
67931,D,D,43
67932,Cadd9,Cadd9,36
67933,C,F,27
67934,B,B,52
67935,Fsmin,Fsmin,13
67936,E,E,27
67937,F,F,12
67938,Fsmin,Fsmin,111
67939,Emin,Emin,21
67940,A,B,81
67941,D,D,42
67942,Fs,D/D,46
67943,As7,Cs,36
67944,Fs,Fs,33
67945,E,D,99
67946,Bb,Bb,33
67947,Dmin,F,30
67948,Asus2,Asus4,7
67949,G,G,88
67950,A,A,11
67951,G,G,46
67952,A,Bmin7,27
67953,As,As,49
67954,D,D,33
67955,E,Cs,57
67956,F,F,20
67957,A,A,7
67958,F,F,23
67959,A,A,38
67960,Amin,Amin,12
67961,G7,G7,67
67962,Ab,Ab,75
67963,G,C,10
67964,E,Emin,24
67965,Bb,Bb,41
67966,Bmin,Bmin,8
67967,Emin,Emin,22
67968,A,A,13
67969,A,A,51
67970,D,D,5
67971,D,D,13
67972,Csmin,Csmin,83
67973,A,Cmaj7sus4,14
67974,G,G,36
67975,D/Fs,Cmin,4
67976,Eb,Bb,21
67977,F,F,45
67978,A,A,41
67979,C/G,D,68
67980,A,Bmin,51
67981,Bmin,A,38
67982,G,G,15
67983,G7/D,G7/E,70
67984,B,B,11
67985,G,G,16
67986,Amin,Amin,7
67987,Ebmin,Ab,105
67988,Emin,Emin,6
67989,G,G,14
67990,As,As,11
67991,Emin,E,80
67992,F,C/B,61
67993,Cmaj7,Cmaj7,48
67994,A,A,11
67995,C,Dmin,11
67996,Bmin7,Bmin7,46
67997,G,G,43
67998,Emin,F,41
67999,Amin,Amin,6
68000,Bbmin,Bbmin,93
68001,Emin,Emin,13
68002,Emin7,Dmin7,44
68003,A,Cs,83
68004,E,C,74
68005,Emin,G,22
68006,G,Amin,86
68007,As,As,32
68008,A,A,17
68009,F,F,47
68010,G,Bmin,64
68011,Dno3d,Gno3d,6
68012,C,C,49
68013,G,G,12
68014,E,E,8
68015,C,C,24
68016,Emin,Emin,69
68017,F,Amin,15
68018,Cmin,Fmin,25
68019,Emin,Emin,46
68020,C,C,66
68021,G,G,13
68022,Gsmin,B,6
68023,G,C,23
68024,E,E,70
68025,E,E,37
68026,F,F,40
68027,Emin,G,49
68028,G,G,34
68029,G,G,18
68030,D7,G,106
68031,Bmin,Bmin,19
68032,A,A,14
68033,B,B,28
68034,C,F,8
68035,Ano3d,Ano3d,14
68036,Amin,Amin,7
68037,Fs,Fs,58
68038,G,G,17
68039,B,G,68
68040,Bmin,Fs,23
68041,G,G,11
68042,C,G,64
68043,C,C,79
68044,Dmin,Dmin,71
68045,C,C,20
68046,F,F,59
68047,Fmin,Cmin,85
68048,Amin,Amin,73
68049,A,A,35
68050,Emin,C,31
68051,D,D,27
68052,Dno3d,Bno3d,67
68053,C,C,4
68054,Emin,Emin,18
68055,F,F,22
68056,G,G7,6
68057,G,G,121
68058,Fs,Fs,20
68059,Gmin,Bbmin,47
68060,Amin,Amin,86
68061,Csmin7,Fsmin,66
68062,Fsmin,Fsmin,19
68063,F,F,71
68064,C,C,40
68065,E,E,32
68066,D,D,52
68067,D,D,13
68068,Amin,Amin,67
68069,C,C,11
68070,C,C,28
68071,Bb,Bb,14
68072,Cs,Cs,8
68073,G,G,56
68074,G,G,63
68075,G,G,14
68076,G,G,12
68077,Bno3d,Amin,13
68078,G,G,37
68079,Dmin,D,10
68080,Cadd9,Emin7,35
68081,Fsmin,Bmin,9
68082,D,D,35
68083,C,C,25
68084,A,A,53
68085,E,E,59
68086,E,Bb/,77
68087,B,Fs,17
68088,Csmin,Csmin,64
68089,F,F,4
68090,B,B,31
68091,E7,E7,26
68092,Fs,Fs,29
68093,G,D,54
68094,D,Emin7,7
68095,Csmin,A,117
68096,A,A,11
68097,G,Bb,26
68098,Bb,Bb,16
68099,Fmin,G,19
68100,C,Emin,46
68101,Cadd9,Amin7,39
68102,Emin,Emin,9
68103,Amin,Amin,40
68104,D,B,64
68105,G,G,20
68106,A,D,33
68107,G,G,77
68108,G,G,70
68109,Fsmin,E7,22
68110,Cmin,Cmin,73
68111,Bmin,Bmin,125
68112,C,C,77
68113,D,D,11
68114,G,G,55
68115,A,A,75
68116,Emin,G,17
68117,D,D,7
68118,G,G,33
68119,Amin,Emin,55
68120,Emin,Emin,12
68121,Cmin,Cmin,19
68122,Bbmin,Bbmin,41
68123,D,D,83
68124,C,D,6
68125,G,G,8
68126,D,Cadd9,8
68127,F,F,30
68128,Gsmin7,Csmin7,56
68129,D,D,56
68130,Emin,Emin,127
68131,G/Fs,G/,43
68132,Fsmin,Fsmin,31
68133,C,G,34
68134,E,Amin,126
68135,A,A,4
68136,Amin,C,58
68137,C,C,99
68138,A,A,5
68139,D,D,46
68140,Cmaj7,Cmaj7,50
68141,E,A,14
68142,A,A,5
68143,Cno3d,Dno3d,35
68144,F,G,64
68145,Dmin,Bb,102
68146,Gs,Gs,64
68147,G,G,35
68148,Gmin,Gmin,15
68149,F,F,116
68150,G,G,57
68151,Eadd11,A,50
68152,G,D,46
68153,Bmin,C,91
68154,D/A,A7sus4,59
68155,Eb,Bb,11
68156,A,E,14
68157,C,C,15
68158,Amin,Amin,10
68159,F,C,53
68160,D,D,8
68161,D,D,44
68162,G,D,21
68163,F,F,15
68164,B7,C,44
68165,Dmin,G,21
68166,B,Fs,12
68167,Emin,B7,11
68168,E,Bmin,23
68169,Emin,Emin,6
68170,D,D,102
68171,Emin,G,17
68172,F/C,Dmin9,16
68173,Ab,G,58
68174,B,B,29
68175,Amin,Amin,61
68176,G,G,27
68177,G,Fsmin,36
68178,G,G,78
68179,A,B,57
68180,C,C,61
68181,Emin,A,9
68182,Dmin,Dmin,30
68183,C,C,42
68184,F,F,66
68185,Bmin,Bmin/A,30
68186,G,G,10
68187,D,B7,34
68188,G,G,20
68189,G,A,109
68190,Emin,Emin,42
68191,Amin,Emin,31
68192,Bmin,D,18
68193,G,G,6
68194,D,D,10
68195,Dsus4,Dsus4,11
68196,Amin,Amin,26
68197,A,D,41
68198,Bmin,Bmin,12
68199,Eb7,Ab7,20
68200,A,A,63
68201,E,Fsmin,60
68202,A,A,8
68203,A/Cs,G,33
68204,E,E,30
68205,B,B,37
68206,B,B,16
68207,C,C,34
68208,Csmin,Csmin,9
68209,D,D,8
68210,G,G,35
68211,Csmin,Gsmin,7
68212,A,A,56
68213,F,F,34
68214,A,A,92
68215,A,A,23
68216,Bmin,A,60
68217,F,Amin,13
68218,Bmin,D,7
68219,G,G,28
68220,E,E,18
68221,E,E,82
68222,D7sus4,Amin,16
68223,A,A,30
68224,Bmin,G,113
68225,Emin,Emin,26
68226,Fmin,Fmin,9
68227,Fs,A,13
68228,F,F,17
68229,Amin,G,66
68230,A,A,118
68231,A,A,86
68232,E,A,25
68233,A,A,10
68234,D,D,9
68235,Gmaj7,Gmaj7,29
68236,C9,C9,38
68237,Fs,Amin,28
68238,Cs,F,40
68239,F,F,84
68240,Emin,G,46
68241,Amin,Amin,31
68242,D,D,53
68243,Ebno3d,E,56
68244,G,G,14
68245,C,C,56
68246,C,C,47
68247,G,C,44
68248,Cmin,Cmin,22
68249,A,B,41
68250,G,G,61
68251,G,G,60
68252,C,C,55
68253,A,A,25
68254,F,F,34
68255,Fadd13,Dmin7,28
68256,Dmin7,Bb,19
68257,F,Cmin,114
68258,G,F,71
68259,Fs,Fs,34
68260,Amin,Emin,68
68261,G,G,46
68262,Cmaj7,E,34
68263,C,C,48
68264,G,G,48
68265,D/Bb,Bmin7,80
68266,Gmin,Gmin,10
68267,A,Csmin,44
68268,A,A,8
68269,C,A,21
68270,C,C,54
68271,Amin,Amin,9
68272,C,C,28
68273,G,D,95
68274,C,C,5
68275,Db,Ebmin,108
68276,Csmin,Csmin,64
68277,C,Emin,70
68278,Fmaj7,Dmin,44
68279,F,C,75
68280,A,A,54
68281,B7,B7,27
68282,Cs,Cs,88
68283,Cadd9,G,5
68284,Bb,F,30
68285,C,C,84
68286,C,Amin,126
68287,As,Cmin,5
68288,G,G,16
68289,A7,E,20
68290,F,Amin,17
68291,Amin,F,33
68292,Eb,Eb,59
68293,Gsmin,Fs,49
68294,Bmin,Bmin,53
68295,D,A,11
68296,G,G,12
68297,G,A,104
68298,Amin,D,31
68299,G,G,26
68300,A,G,81
68301,C,D,33
68302,G,C,5
68303,E,E,21
68304,G,B,25
68305,Amin,Amin,54
68306,C,C,7
68307,D,D,14
68308,F,F,112
68309,Cadd9,Cadd9,15
68310,C,C,21
68311,C,C,126
68312,Cadd9,Gadd9,47
68313,G,G,16
68314,A,A,18
68315,A,A,27
68316,Dno3d,D/Fs,32
68317,G,D,7
68318,Amin7,Amin7,111
68319,Amin,Amin,24
68320,D,D,16
68321,F,G7,75
68322,A,A,47
68323,F,G,97
68324,G,D,28
68325,G,G,12
68326,Fmaj7,F,34
68327,C,C,90
68328,Emin,Emin,30
68329,Fsmin,Fsmin,30
68330,C,D,6
68331,G,G,31
68332,D,D,11
68333,E,D,30
68334,Amin,Amin,7
68335,Emin7,Fsmin7,44
68336,Dmin,G,63
68337,As,As,35
68338,Cmin,Gmin,24
68339,Ebmin,Bbmin,62
68340,Amin,G,28
68341,C,C,5
68342,Emin,D,13
68343,A,A,36
68344,C9,C9,5
68345,Fs,Fs,35
68346,E7,E7,36
68347,Bmin,Emin,41
68348,F,F,75
68349,C,G,63
68350,Eb,Eb,16
68351,B,B,37
68352,B,B,52
68353,C,C,46
68354,Bmin,Bmin,28
68355,Asmin,Asmin,35
68356,F,F,9
68357,Bb,Bb,36
68358,Dsus4,G,24
68359,B,B,26
68360,Bmin,Bmin,22
68361,G,A,14
68362,Emin,Emin,14
68363,G,G,17
68364,G,G,32
68365,D,D,10
68366,Csmin,E,58
68367,G,G,68
68368,D,D,17
68369,Gsmin,Gsmin,98
68370,G,Amin,18
68371,F,As,12
68372,Emin,C,50
68373,E,E,43
68374,A,A,35
68375,Csmin,E,8
68376,Gsus4,G,20
68377,Dmin7,Dmin7,22
68378,A,Bmin,49
68379,D,D,22
68380,G,G,4
68381,D,D,57
68382,C,C,18
68383,C,C,15
68384,A,B,48
68385,Csmin,A,18
68386,C,C,48
68387,G,F,10
68388,C,C,18
68389,Fsmin,E,15
68390,G,G,64
68391,Emin,Amin,21
68392,Fs,Fs,40
68393,Amin,Amin,5
68394,A,G,43
68395,F,C,49
68396,Bmin,D,37
68397,As,Gmin7,6
68398,Dmin,G,25
68399,Gs,Fs,68
68400,Csmin,Fsmin,7
68401,D,Emin,12
68402,A7,Gmin7,24
68403,D,D,16
68404,Eno3d,Bno3d,50
68405,C,C,14
68406,C,C,29
68407,D,D,14
68408,Gmin,Bb,32
68409,C,Ds,9
68410,G,G,36
68411,Fs,D,20
68412,Asmin,Asmin,76
68413,D,D,5
68414,Dmin,As,5
68415,G,G,44
68416,Ds7,Fs,19
68417,E,E,14
68418,A,A,24
68419,F,Dmin,26
68420,Amin7,G7,22
68421,B,Cs,5
68422,G,G,55
68423,E,A,30
68424,F,F,19
68425,D,D,26
68426,Fmaj7,Fmaj7,28
68427,F,F,19
68428,E,E,75
68429,D7sus2,D,53
68430,Ab,Ab,15
68431,B,Emin,19
68432,Abmin,Fmin,4
68433,Cssus4,D,12
68434,Amin,Amin,41
68435,Dmin7,C,83
68436,Ano3d,Gno3d,29
68437,G,G,26
68438,A,A,74
68439,G,G,25
68440,Gminadd13,A,55
68441,G,G,101
68442,C,C,4
68443,Cs,Fs,50
68444,C,C,18
68445,Emin,Dmin,20
68446,C,C,33
68447,Eb,Eb,37
68448,G,G,59
68449,F,F,5
68450,Amin7,Amin7,10
68451,D,D,80
68452,Emin,Dmin,13
68453,D7,D7,28
68454,Emin,C,67
68455,Dmin,Dmin,30
68456,B,A,7
68457,C,C,31
68458,Amin,Amin,10
68459,D,D,102
68460,E/B,E/,20
68461,Amin7,Dmin7,27
68462,E,E,8
68463,Bb,Bb,5
68464,G,G,9
68465,Bmin,Bmin,28
68466,Bmin,Bmin,71
68467,G,G,66
68468,Emin,Emin,20
68469,D,C,7
68470,E,E,55
68471,C,C,9
68472,Emin,G,15
68473,A,Dmin,30
68474,C,C,4
68475,G,G,39
68476,Cmin,Cmin,11
68477,D,D,24
68478,Amin,Amin,6
68479,Gmin,Gmin,43
68480,E,Gsmin,19
68481,G,G,21
68482,Amin,Amin,65
68483,Ab,Ab,5
68484,A,A,13
68485,Cs,E,32
68486,Fs,E,90
68487,F,C/,30
68488,Bb,Bb,6
68489,Csmin,E,54
68490,Fsmin,Fsmin,30
68491,Dmin,Amin,18
68492,D,D,32
68493,Amin,Amin,84
68494,G7,G7,9
68495,D,D,20
68496,C,C,122
68497,F,Gmin7,14
68498,B,A,53
68499,G,G,62
68500,Cmaj7,Cmaj7,45
68501,F,C,16
68502,Cadd9,Cadd9,52
68503,C,Bmin,26
68504,F,Amin,6
68505,E,E,22
68506,G,G,23
68507,G,G,34
68508,Amin,D,34
68509,D,D,35
68510,G,G,100
68511,G,G,54
68512,Cs,Cs,61
68513,Dmin7,Dmin7,44
68514,G,G,33
68515,F,F,15
68516,A,Gsmin,6
68517,D,D,62
68518,Fsmin,Fsmin,43
68519,A,B,57
68520,C,C,9
68521,Csmin,E,16
68522,Amin,G,89
68523,F,F,96
68524,Emin,Emin,6
68525,C,G,71
68526,F,F,15
68527,Eb,Db,24
68528,Ebmin,D,58
68529,Eb,Eb,9
68530,D,C,25
68531,C,D7,5
68532,G,G,47
68533,F,F,28
68534,Fs,Fs,13
68535,Gmin,C,96
68536,G,G,71
68537,Bbdim,Bmin,63
68538,Gmaj7,D7,19
68539,C,C,42
68540,Cmaj7,Dmin7,60
68541,Amin,F,45
68542,Amin,Amin,38
68543,A,A,8
68544,G,G,91
68545,F,F,71
68546,Amin,C,27
68547,Amin,C,8
68548,C,G,26
68549,Emin,Emin,16
68550,A,A7,61
68551,Dmin,Dmin,76
68552,D,B,11
68553,Fmin,Fmin,17
68554,C,C,12
68555,D,D,24
68556,C,C,25
68557,D/Fs,D/Fs,34
68558,Ab,Eb,95
68559,F,F,9
68560,B,B7,18
68561,D,D,14
68562,C,C,43
68563,Bbmin,Bbmin,42
68564,G/B,G/B,8
68565,Gsmin,Gsmin,23
68566,Cs,Cs,54
68567,G,G,12
68568,G,G,25
68569,Eno3d,Ano3d,7
68570,B,B,70
68571,A,A,15
68572,Dmin9,Dmin9,65
68573,C,Bmin,37
68574,G,Amin,62
68575,Csmin,E,26
68576,G,G,44
68577,A,A,73
68578,B,A,4
68579,F,F,27
68580,Amin/D,Dno3d,82
68581,C,F,7
68582,D,G,82
68583,C,C,41
68584,Emin,G,7
68585,E,B,36
68586,G,G,60
68587,D,D,8
68588,B,B,38
68589,Gmaj9,Gmaj9,5
68590,Bb,Bb,13
68591,Asus2,Bmin7,37
68592,D,E,35
68593,Cs,Gs7,65
68594,A,A,61
68595,D,D,56
68596,Fmin,Fmin,10
68597,D7,C,61
68598,Amin,Amin,7
68599,B,E,18
68600,C,C,16
68601,E,E,30
68602,G,G,47
68603,B,B,46
68604,F,Eb,62
68605,Ano3d,Csmin,33
68606,G,G,22
68607,F,F,22
68608,F,F,47
68609,Emin/A,C,35
68610,G,G,75
68611,Asus4,Asus4,50
68612,F,F,63
68613,G,G,15
68614,C,D,63
68615,E,E,27
68616,Gsmin,Gsmin,52
68617,Ab,Ab,73
68618,Emin,G,36
68619,Emin7,Emin7,10
68620,C,C,15
68621,G,G,28
68622,D,Fsmin,32
68623,D,D,5
68624,G9,G9,53
68625,Csmin7,Gsmin7,84
68626,G,G,68
68627,Fsmin,A,39
68628,D,D,17
68629,Cs7,Cs7,35
68630,Amin,C,44
68631,G,Amin,14
68632,G/F,D,15
68633,Eno3d,Eno3d,24
68634,F,F,25
68635,G7,C,36
68636,Fmin7,Fmin7,53
68637,A,A,68
68638,D,E,109
68639,C,C,58
68640,Gs,Gs,6
68641,Eno3d,Emin,4
68642,C,C,15
68643,Eb,Bb,15
68644,Ebmaj7,Ebmaj7,12
68645,A,D/Fs,11
68646,G,G,74
68647,Eb,Eb,78
68648,E,E,56
68649,G,Bmin,16
68650,C,C,28
68651,G,G,34
68652,E,E,12
68653,A,A,36
68654,E,B7,25
68655,Ab,Ab,23
68656,F,G7,29
68657,C,C,22
68658,Esus4,Esus4,9
68659,C,C,24
68660,Fs,A,40
68661,G,G,30
68662,C,C/E,45
68663,Gsno3d,Dsus2,38
68664,Asmin,Asmin,33
68665,Gsus4,Gsus4,43
68666,D/A,Amin7,88
68667,Gsmin,Cmin,44
68668,Cmin7,Cmin7,23
68669,E,E,23
68670,G,G,57
68671,Gmin7,Gmin7,32
68672,F,F,21
68673,G,Bb,14
68674,G,D,30
68675,B,Gsmin,61
68676,D,F,30
68677,D,D,38
68678,G,G,20
68679,A7,A7,51
68680,Bb,Bb,45
68681,G,G,11
68682,D,C,6
68683,G,G,53
68684,D,D,40
68685,G,G,45
68686,Amin7,Amin7,59
68687,G,F,59
68688,Eb,F,27
68689,G,F,34
68690,D,D,43
68691,Gsmin,Gsmin,6
68692,C,D,34
68693,C/E,C,57
68694,D,D,36
68695,G,G,43
68696,Amin,C,33
68697,F,F,7
68698,G,G,38
68699,D7,A7,5
68700,G,C,46
68701,D,D,48
68702,Ebmaj7,Ebmaj7,14
68703,Amin/G,C,39
68704,Gb,Gb,23
68705,Emin,D,12
68706,Amin,Amin,38
68707,G,G,17
68708,A,A,26
68709,Eb,Fmin,30
68710,C,C,10
68711,D/Fs,D,63
68712,C,C,7
68713,Cmin,Fmin,43
68714,Amin7,D,65
68715,E7,E7,43
68716,C,A,94
68717,F,F,9
68718,G,G,17
68719,Gb,Gb,56
68720,C,C,12
68721,D,D,20
68722,C,C,58
68723,Dmin,G/D,5
68724,C,C,37
68725,Dmaj9,Dmaj7,15
68726,G7,F,10
68727,Amin,Amin,27
68728,Eb,Eb,54
68729,D,D,60
68730,G,G,65
68731,Fno3d,Fno3d,49
68732,F,Bb,71
68733,D,D,24
68734,C,C,6
68735,Bmin,Bmin,58
68736,Gb,Ebmin,29
68737,G7,G7,26
68738,Amin,Amin,64
68739,D,A,38
68740,Gs,Bb,20
68741,Fsadd9,B,56
